제목,평점,스토리작가,그림작가,업데이트 년도,형식,장르,이용가,요약,태그,조회순
심연의 하늘 시즌5,9.92,윤인완,김선희,2018,스토리,스릴러,15세 이용가,이 재난의 마지막 생존자는 누가 될 것인가,"슈퍼스트링,스릴러,완결스릴러",317
퍼스트 미션,9.97,신의철,신의철,2018,스토리,판타지,15세 이용가,슈퍼 파워의 기원 '프라나'를 수호해야 하는 영웅의 첫번째 사명!그 사명을 짊어질 슈퍼 히어로의 탄생 이야기,"판타지,완결판타지",318
빙탕후루,9.96,장희,주호민,2020,에피소드,판타지,15세 이용가,<신과 함께> 주호민 작가의 신작! 잔인하고 무자비한 환상 속 요괴들이 현세를 어지럽히는 중국 송나라귀안도사와 여연이 팔귀 퇴치의 여정을 떠난다.,"판타지,완결판타지",319
크레이터,9.93,태발,태발,2015,스토리,액션,15세 이용가,"전투를 위해 태어난 인간 투견!
주인을 위해 목숨을 걸고 싸워라!","액션,완결액션",320
나는 어디에 있는 거니,9.83,서나래,서나래,2009,옴니버스,일상,전체연령가,"무작정 떠나고 본다!!여행 준비부터 엉망진창,낢이 들려주는 네팔 여행기","일상,완결무료,완결일상",321
오렌지 마말레이드,9.91,석우,석우,2014,스토리,로맨스,12세 이용가,뱀파이어 정체를 숨긴 전학생 백마리와 인기 남학생 정재민.석우 작가가 그리는 그들의 감성적인 판타지 로맨스.,"드라마&영화 원작웹툰,로맨스,완결로맨스",322
후기,9.95,조석,조석,2021,스토리,스릴러,15세 이용가,무가지에 연재되던 삼류 소설이 사실은 누군가의 살인 후기였다!,"스릴러,완결스릴러",323
첩보의 별,9.86,이상신,국중록,2016,스토리,개그,전체연령가,배신이 난무하는 그들의 뜨거운 우정본격 스파이 모험 만화!,"개그,완결개그",324
낢에게와요,9.88,서나래,서나래,2010,옴니버스,일상,전체연령가,"누군가를 사랑하는 것이 세상에서 제일 어려운, 연애의 은총에서 소외된 자들.
그러나 그들도 사랑을 한다! 신입생 낢과 친구들의 풋풋하고 어설픈 좌충우돌 짝사랑 이야기.","일상,완결무료,완결일상",325
에이틴,9.39,Playlist,LICO,2019,스토리,로맨스,전체연령가,"화제의 웹드라마 '에이틴', 사랑스런 캐릭터들을 웹툰으로 만난다.하나도 평범하지 않은 열여덟 이야기.","로맨스,완결무료,완결로맨스",326
힙한남자,9.89,혜니,혜니,2022,스토리,로맨스,15세 이용가,"국내 요가복 회사 2위 ‘립앤힙’의 대표인 성가은,그토록 찾던 물복반 딱복반 엉덩이를 만나다..?!<구구까까> 혜니 작가의 신작!","로맨스코미디,직업드라마,인플루언서,로맨스,완결무료,완결로맨스",327
야채호빵의 봄방학,9.98,박수봉,박수봉,2018,스토리,드라마,전체연령가,오늘은 뭐 해 먹지?먹는 고민뿐이던 야채에게 찾아온 봄방학 같은 설렘,"드라마,완결드라마",328
엔딩 후 서브남을 주웠다,9.97,정서,황도톨,2022,스토리,로맨스,15세 이용가,"빙의한 소설 속 나의 최애캐는 서브남이었다.여주에게 버림받아 흑화한 츤데레는 어마무시한 까칠남이 되어 있었다는 것! 나, 무사히 서브남을 주울 수 있을까?","빙의,로판,구원서사,까칠남,로맨스,소설원작,완결로맨스",329
혈액형에 관한 간단한 고찰,9.89,박동선,박동선,2015,에피소드,일상,전체연령가,"섬세하고 자유분방한, 우유부단 하면서 분석력 있는
서로 다른 혈액형들 사이에서 벌어지는 좌충우돌 유쾌한 에피소드.","일상,완결무료,완결일상",330
비흔,9.94,정재한,황영찬,2013,스토리,무협/사극,12세 이용가,"잊혀진 나라 백제, 그리고 싸울아비.패자의 역사 뒤로 전설이 되어 사라진 검은 이리 '흑랑' '비흔'이라는 이름으로 새로운 전설을 시작한다.","무협/사극,완결무료,완결무협/사극",331
2018 루키 단편선,9.89,웹툰작가,웹툰작가,2018,옴니버스,드라마,전체연령가,"전설 이현세, 이두호 작가가 직접 프로듀싱한지옥캠프 단편선 여덟번째 시즌!","드라마,완결무료,완결드라마",332
닭통령 계양반,9.3,미티,미티,2013,스토리,드라마,전체연령가,"'남기한엘리트만들기','고삼이 집나갔다' 미티의 스마트툰 신작!치킨을 향한 사랑과 우정, 그리고 전쟁, 본격 치킨 막장 드라마!","드라마,완결드라마",333
하나의 하루,9.95,석우,석우,2019,스토리,로맨스,12세 이용가,인간소녀를 향한 늑대인간의 사랑,"로맨스,완결로맨스",334
2022 스크롤금지,9.05,웹툰작가,웹툰작가,2022,스토리,스릴러,15세 이용가,"2022 네이버웹툰 릴레이 공포 단편선. 무더위를 날려줄 서늘한 공포특집이 돌아왔다. 귀신, 흉가, 동물 등 소리의 공포감이 극대화된 29편의 작품들. 강심장을 지닌 사람만 스크롤하세요!","스릴러,완결무료,완결스릴러",335
어른스러운 철구,9.93,해다란,해다란,2014,스토리,드라마,12세 이용가,어른스러운 초등학생 철구의 비밀?공상만화지만 비과학적인‘어른스러운 철구’에서 함께 알아보아요,"드라마,완결드라마",336
고교생을 환불해 주세요,9.98,Croissant,Croissant,2019,스토리,드라마,12세 이용가,저승로맨스판타지 학원물이 온다!,"드라마,완결무료,완결드라마",337
2012 지구가 멸망한다면?,9.26,웹툰작가,웹툰작가,2012,옴니버스,판타지,전체연령가,"2011년을 뜨겁게 달군 '미스테리 단편'을 잇는 2012년 특집 웹툰, <2012 지구가 멸망한다면?>지구 멸망을 소재로 네이버 웹툰 작가들이 선보이는 다양한 이야기들.","판타지,완결무료,완결판타지",338
방백남녀,9.93,고태호,고태호,2019,스토리,드라마,전체연령가,모든 게 다른 두 남녀친구가 될 수 있을까?,"드라마,완결드라마",339
크리퍼스큘,9.94,밀치,얌치,2016,스토리,판타지,전체연령가,낮과 밤이 없는 붉은하늘의 세계 크리퍼스큘.그 곳에서 펼쳐지는 뱀파이어 학원 판타지.,"판타지,완결판타지",340
체스아일,9.86,cid혁군,cid혁군,2008,스토리,드라마,12세 이용가,"체스아일 문장(紋章)을 둘러싸고
벌어지는 음모와 배신 그리고 전쟁! 그 안에서 잠자고 있던 한 남자의 원한이 눈을 뜨기 시작한다.","드라마,완결무료,완결드라마",341
장미아파트 공경비,9.7,권정희,박병규,2015,스토리,드라마,12세 이용가,취업도 힘들다. 사랑도 힘들다. 그래도 희망은 있다. 이십대 경비의 좌충우돌기!,"드라마,완결드라마",342
첫사랑입니다만,9.93,산차,이노,2020,스토리,로맨스,전체연령가,숨기고 싶은 그녀와 밝히고 싶은 그의 밀당 로맨스!,"로맨스,소설원작,완결로맨스",343
운수 오진 날,9.59,아포리아,아포리아,2020,스토리,스릴러,18세 이용가,"괴상하게도 오늘은, 운수가 좋더라니... 함부로 낯선이와 동행하지 마라...!",,344
살人스타그램,9.61,령,령,2021,옴니버스,스릴러,18세 이용가,"[SNS 잔혹 스릴러 시즌2]귀신마피아게임에 초대되었습니다.플레이어 중에 사람을 죽이는 귀신이 숨어있습니다. 누구일까요? 투표를 시작하겠습니다. 5,4,3,2...1.",,345
갸오오와 사랑꾼들,9.94,갸오오,갸오오,2018,에피소드,개그,전체연령가,"차이고, 퇴짜맞는 것은 일상하지만 절대 기죽지 않아!!갸오오와 친구들의 좌충우돌 사랑 도전기","병맛,개그,완결개그",346
부부생활,9.94,써니사이드업,써니사이드업,2017,에피소드,일상,12세 이용가,유부들도 안 알랴준 유부 이야기,"일상,완결무료,완결일상",347
아일랜드 2부,9.97,윤인완,양경일,2018,스토리,스릴러,15세 이용가,악귀들이 가득찬 섬 제주도. 이를 물리치는 토막살인범 반. 웹툰으로 새롭게 돌아온 퇴마만화의 전설 <아일랜드 2부>,"슈퍼스트링,스릴러,완결스릴러",348
파이게임,9.07,배진수,배진수,2021,스토리,스릴러,15세 이용가,"시간이 흐르면 돈이 쌓인다.피가 흐르면 시간이 쌓인다.과연 최후에 남을 상금과 승자는 누가 될 것인가?짜릿한 현실감과 팽팽한 긴장감, 사회에 대한 냉철한 주제의식까지 돋보이는 <머니게임>의 후속편!","스릴러,완결스릴러",349
시타를 위하여,9.97,하가,하가,2014,스토리,드라마,12세 이용가,"운명이 바뀌게 되는 한 소녀와, 그녀를 구하고 싶었던 한 남자의 이야기.2013 대학만화 최강자전 8강 진출작","최강자전,2013 최강자전,드라마,완결드라마",350
