제목,평점,스토리작가,그림작가,업데이트 년도,형식,장르,이용가,요약,태그,조회순
유미의 세포들,9.93,이동건,이동건,2020,에피소드,로맨스,12세 이용가,유미는 지금 무슨 생각을 하고 있을까?그녀의 머릿속에서 바쁘게 움직이는 세포들 이야기!,"드라마&영화 원작웹툰,로맨스,완결로맨스",1
스피릿 핑거스,9.98,한경찰,한경찰,2018,스토리,로맨스,전체연령가,"평범한 여고생, 알록달록 이상한 그림모임에 들어가다!나만의 색을 찾아 떠나는 모험 이야기!","성장드라마,감성드라마,로맨스,완결무료,완결로맨스",2
신의 탑,9.89,SIU,SIU,2022,스토리,판타지,12세 이용가,자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년그리고 그런 소년을 시험하는 탑,"세계관,이능력배틀물,소년왕도물,먼치킨,판타지",3
갓 오브 하이스쿨,9.64,박용제,박용제,2022,스토리,판타지,12세 이용가,"전국, 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다.허구 100% 막장 액션의 끝!! 기대하시라!!!","이능력배틀물,먼치킨,판타지,완결무료,완결판타지",4
하이브 1~2,9.95,김규삼,김규삼,2016,스토리,판타지,15세 이용가,거대해진 곤충들이 인간을 습격한다! 원시시대로 돌아간 지구의 대기상태,"아포칼립스,판타지,완결판타지",5
기기괴괴,9.9,오성대,오성대,2022,옴니버스,스릴러,15세 이용가,<절벽귀> 오성대 작가의 신작 옴니버스 미스테리 스릴러.기묘하고 괴상한 이야기들.,"괴담,스릴러,완결스릴러",6
오!주예수여,9.98,아현,아현,2018,스토리,로맨스,12세 이용가,모든게 완벽한 여고생 주예수귀신을 보는 음침한 남고생 오수빈을 좋아해 구해주려다사고로 유체이탈 상황에 놓이게 되는데...,"로맨스,완결로맨스",7
악의는 없다,9.48,환쟁이,환쟁이,2016,스토리,스릴러,15세 이용가,"시골 마을, 한 남자가 죽었다.그 죽음의 진실을 파헤치려는 이와 덮으려는 자의 싸움.","스릴러,완결스릴러",8
공복의 저녁식사,9.75,김계란,김계란,2019,스토리,드라마,전체연령가,세상에는 왜 이렇게 맛있는 게 많을까만두와의 저녁식사를 통한 식탐소녀 복희의 좌충우돌 성장기,"드라마,완결드라마",9
복학왕,9.06,기안84,기안84,2021,스토리,드라마,15세 이용가,패션왕 우기명이 돌아왔다!즐거운 대학 생활?! 과연?!,"드라마,완결드라마",10
낚시신공,8.63,귀귀,귀귀,2015,스토리,개그,15세 이용가,전설이 돌아왔다! 허를 찌르는 실전 무공. 귀귀 작가의 컷툰 신작!,"개그,완결개그",11
후레자식,9.98,김칸비,황영찬,2016,스토리,스릴러,18세 이용가,'내 집안에 살인마가 산다.'본격 세대갈등 잔혹 스릴러,,12
2015 소름,9.83,웹툰작가,웹툰작가,2015,옴니버스,스릴러,12세 이용가,2015 여름특집 공포 단편선. 당신에게도 일어날 수 있는 이야기,"스릴러,완결무료,완결스릴러",13
용이산다,9.77,초,초,2020,스토리,드라마,전체연령가,드래곤이든 인간이든 그저 평범한 판타지 일상물.새로운 용(?)물 등장!,"드라마,완결드라마",14
밥 먹고 갈래요?,9.97,오묘,오묘,2019,에피소드,감성,전체연령가,이리 뛰고 저리 뛰고 깨지고 구르고. 지칠대로 지친 주중을 보내고 나면 찾아오는 주말 힐링 타임. 오묘 작가의 컷툰 신작!,"음식요리,감성,완결무료,완결감성",15
마주쳤다,9.83,하일권,하일권,2018,스토리,드라마,전체연령가,"기억해줘, 우리가 마주쳤던 순간들. 세상에 없던 나새끼 로맨스 액션툰, 마주쳤다","드라마,완결무료,완결드라마",16
한번 더 해요,9.91,미티,구구,2018,스토리,드라마,18세 이용가,결혼 8년차 부부. 성대광과 유선영. 대학시절 킹카 퀸카로 CC로 만나 결혼까지 골인했지만 이젠 지독한 현실에 서로에게 지쳐버린 권태기 부부일 뿐이었다. 그러던 어느 날..드라마 <고백부부> 원작 웹툰!,,17
내 ID는 강남미인!,9.83,기맹기,기맹기,2017,스토리,로맨스,12세 이용가,"못생긴 얼굴에서 미인으로 새롭게 태어난 그녀, 강미래! 그런데... 어디서 본 듯 한데?","최강자전,2015 최강자전,드라마&영화 원작웹툰,캠퍼스로맨스,로맨스,완결로맨스",18
슈퍼 시크릿,9.98,이온,이온,2018,에피소드,로맨스,전체연령가,평범한 여대생 은호와 조금 특별한 소꿉친구 견우의 술래잡기. 은호만 모르는 이웃집의 비밀들이 밝혀진다,"소꿉친구,친구>연인,인외존재,로맨스,완결로맨스",19
폰령,9.61,웹툰작가,웹툰작가,2016,스토리,스릴러,12세 이용가,2016 마지막 공포!절대 눈을 감지 마시오.,"스릴러,완결무료,완결스릴러",20
노블레스,9.62,손제호,이광수,2019,스토리,판타지,12세 이용가,820년간의 긴 수면기. 드디어 새로운 세상에 눈을 뜨다.그리고 새로운 세상의 새로운 사람들을 만나다.,"먼치킨,판타지,완결판타지",21
2011 미스테리 단편,8.45,웹툰작가,웹툰작가,2011,옴니버스,스릴러,12세 이용가,"네이버 웹툰 작가들이 들려주는 미스테리 괴담.올 여름, 당신의 등골이 오싹해진다.","스릴러,완결무료,완결스릴러",22
공주는 잠 못 이루고,9.95,하가,하가,2015,스토리,드라마,전체연령가,당신 없이는 살 수 없어나는 구원 받을 수 있습니까?,"드라마,완결드라마",23
내 ID는 강남미인! - 둘만의 시간,9.96,기맹기,기맹기,2018,에피소드,로맨스,12세 이용가,연애가 처음인 커플의 여행 계획♥회색 아기 고양이의 섹시한 컴백?!​<내 ID는 강남미인!> 드라마화 기념 특별외전,"로맨스,완결무료,완결로맨스",24
마음의소리,9.86,조석,조석,2020,에피소드,개그,전체연령가,솔직 담백 최강의 개그 만화 <마음의 소리>날 가져요 엉엉,"드라마&영화 원작웹툰,병맛,개그,완결개그",25
대학일기,9.97,자까,자까,2019,에피소드,개그,전체연령가,로망이 꽃피는 캠퍼스는 없다.극사실주의에 기반한 너무나 현실적인 우리의 대학일기,"개그,완결개그",26
스퍼맨 시즌1,9.94,하일권,하일권,2017,스토리,판타지,18세 이용가,사랑하는 여자친구와 드디어 첫날밤을 맞게된 김기두갑자기 정체모를 사람들에게 납치되고자신이 슈퍼정자를 가진 능력자라는 얘기를 듣게 되는데...,,27
소녀더와일즈,9.43,HUN,제나,2016,스토리,액션,12세 이용가,"<펫다이어리>, <열아홉스물하나> 제나(김혜진) 작가와 HUN 작가의 만남.그들이 들려주는, 다소 과격한 소녀들의 전쟁 같은 삶 이야기.","액션,완결액션",28
2015 사이,9.88,웹툰작가,웹툰작가,2016,옴니버스,로맨스,전체연령가,"2015 로맨스 콜라보 특집. ""그때 네 마음은 뭐였니?""우리 둘 사이만큼 궁금한 너의 이야기","로맨스,완결무료,완결로맨스",29
놓지마 정신줄,9.92,신태훈,나승훈,2016,에피소드,개그,전체연령가,"정신, 정주리 남매와 독특한 주변 인물들의정신줄 놓게 만드는 다양한 에피소드들!
본격 유체이탈 예방 프로젝트 ‘놓지마 정신줄!’","드라마&영화 원작웹툰,개그,완결무료,완결개그",30
고수,9.97,류기운,문정후,2021,스토리,판타지,15세 이용가,<용비불패> 최강의 콤비가 무협의 전설을 다시 쓰다! 천하제일의 고수 강룡. 그리고 수많은 다른 고수들의 이야기.,"복수극,먼치킨,판타지,완결판타지",31
야부리맨,9.84,미티,미티,2017,스토리,개그,12세 이용가,말하는대로 모든 것이 이루어진다?! 역대급 슈퍼히어로의 초특급 재능낭비! 미티 작가의 컷툰 신작,"개그,완결무료,완결개그",32
평범한 8반,9.8,영파카,영파카,2022,스토리,드라마,15세 이용가,안 평범한 아이들이 모인 평범한 8반고품격 웰메이드 병맛을 느껴보세요,"드라마,완결무료,완결드라마",33
인생존망,9.85,박태준,전선욱,2020,에피소드,액션,15세 이용가,학교 다닐때 날 지독하게 괴롭힌 너 때문에 난 인생이 망했어.그런데 왜 넌 안 망하고 오히려 더 떵떵거리며 사는거야?너도 한번 내가 되어서 너한테 똑같이 당해봐!!,"타임슬립,사이다,학원물,액션,완결액션",34
여중생A,9.98,허5파6,허5파6,2017,스토리,드라마,전체연령가,게임에 빠져 사는 중학생 장미래.생각 많고 내향적인 그녀의 현실 속 학교생활.,"드라마&영화 원작웹툰,하이퍼리얼리즘,성장드라마,감성드라마,드라마,완결드라마",35
달수 이야기,9.98,산삼,산삼,2017,스토리,개그,전체연령가,"산촌 남고에 전학 온 김주혜, 아니 김달수의 고된 남장 생활.본 작품은 2014 네이버 수퍼루키 공모전 당선작품입니다.","개그,완결개그",36
2016 학교 다녀오겠습니다,9.41,웹툰작가,웹툰작가,2016,에피소드,일상,전체연령가,신학기가 외롭고 힘든 당신을 위해 준비했다웹툰작가들의 개그 단편선,"일상,완결무료,완결일상",37
오늘도 사랑스럽개,9.98,이혜,이혜,2019,스토리,로맨스,12세 이용가,새벽마다 개로 변하는 저주를 풀고 싶은 여자와개가 무서운 남자의 밀고 당기는 로맨스!,"로맨스,완결로맨스",38
2017 사이다를 부탁해!,9.78,웹툰작가,웹툰작가,2017,옴니버스,일상,전체연령가,고구마 10000개를 삼킨 것 같은 실제 사연을독자들로부터 직접 받아서 네이버 웹툰 작가들이 새롭게 들려드립니다!,"일상,완결무료,완결일상",39
귀도,9.91,주동근,주동근,2016,옴니버스,스릴러,15세 이용가,귀신 본 적 있니?이제 내가 본 걸 얘기해줄게...,"스릴러,완결스릴러",40
2016 비명,9.14,웹툰작가,웹툰작가,2016,옴니버스,스릴러,12세 이용가,2016 여름특집 공포 단편선. 비명소리를 내지 않을 자신이 있다면 스크롤을 내려라.,"스릴러,완결무료,완결스릴러",41
전설의 레전드,9.73,강냉이,강냉이,2016,스토리,액션,12세 이용가,전설을 만드는 전설의 전설,"액션,완결액션",42
신과함께,9.98,주호민,주호민,2019,스토리,판타지,전체연령가,나쁘지도 착하지도 않은 평범한 남자 김자홍이저승에서 49일 동안 일곱 번의 재판을 받게 된다.,"영화원작웹툰,드라마&영화 원작웹툰,판타지,완결판타지",43
연애의 정령,9.95,김호드,김호드,2019,스토리,개그,15세 이용가,"남중·남고·공대·군대의 길을 걷는 자, 문오중. 그에게 뜬금없이 연애의 정령이 파견되는데...","개그,완결개그",44
찌질의 역사,9.89,김풍,심윤수,2017,스토리,드라마,15세 이용가,스무살 소년들이 남자로 진화한다평생을 철들지 못하는 우리들의 찌질한 이야기,"하이퍼리얼리즘,레트로,드라마,완결드라마",45
금수저,9.94,HD3,HD3,2018,스토리,드라마,12세 이용가,'부모님을 선택할 수 있다고!?'후천적 금수저가 된 아이의 인생 어드벤처,"드라마,완결드라마",46
일등당첨,9.29,미티,미티,2015,스토리,드라마,전체연령가,당신이 꿈꿔온 인생역전 드라마!당첨되면 뭐할래요?,"드라마,완결드라마",47
철벽! 연애 시뮬레이션,9.96,혜니,혜니,2016,스토리,로맨스,전체연령가,모니터 남친은 이제 그만! 게임속으로 들어간 이라의 철벽녀 탈출기. 2014 대학만화 최강자전 수상작!,"최강자전,2014 최강자전,로맨스,완결로맨스",48
조의 영역,9.94,조석,조석,2019,스토리,스릴러,12세 이용가,물에 살던 녀석들의 모습이 상식을 벗어나기 시작했다.'마음의 소리' 조석의 재난 스릴러,"아포칼립스,스릴러,완결스릴러",49
패션왕,8.33,기안84,기안84,2013,스토리,드라마,15세 이용가,멋있어지고 싶은 그들의 이야기.,"드라마&영화 원작웹툰,드라마,완결드라마",50
좀비딸,9.97,이윤창,이윤창,2022,스토리,드라마,전체연령가,나의 딸은 좀비다.이 세상 마지막 남은 유일한 좀비...,"좀비,드라마,완결드라마",51
조선왕조실톡,9.89,무적핑크,무적핑크,2018,에피소드,개그,전체연령가,"어느 날 메신저로 찾아온, 조선 시대 그분들의 시시콜콜한 이야기.무적핑크 작가 신작!",개그,52
오늘도 형제는 평화롭다,9.97,GIMS,GIMS,2017,에피소드,개그,전체연령가,"돈독한 형제들의 이야기,사건의 중심엔 늘 그들이 있다.","드라마&영화 원작웹툰,개그,완결개그",53
스위트홈,9.97,김칸비,황영찬,2020,스토리,스릴러,15세 이용가,"절망의 세상을 비관하고 스스로를 고립시킨 한 소년,하지만 이제 소년은 밖으로 나가고 싶다.","드라마&영화 원작웹툰,아포칼립스,스릴러,완결스릴러",54
놓정동화,9.93,신태훈,나승훈,2016,옴니버스,개그,전체연령가,"여러분의 정신줄을 다시 한 번 놓게 할
새로운 동화가 시작된다!","개그,완결무료,완결개그",55
바른연애 길잡이,9.46,남수,남수,2021,스토리,로맨스,전체연령가,매일 다이어리에 세워 둔 계획을 지키며 바른 생활을 실천하는 정바름.하지만 동아리 선배에게 느끼는 연애 감정만큼은 계획처럼 진행되지 않는데...모두의 로망을 충족시켜 줄 설렘 달달 캠퍼스 로맨스!,"캠퍼스로맨스,역하렘,삼각관계,로맨스,완결로맨스",56
부활남,9.51,채용택,김재한,2019,스토리,액션,15세 이용가,나는 죽으면3일 만에 부활한다!,"슈퍼스트링,액션,완결액션",57
2018 재생금지,9.67,웹툰작가,웹툰작가,2018,스토리,스릴러,12세 이용가,2018 여름특집 공포 단편선.절대 재생 금지! 플레이하면 끔찍한 비명의 기록이 쏟아진다.,"스릴러,완결무료,완결스릴러",58
이런 영웅은 싫어,9.97,삼촌,삼촌,2017,스토리,판타지,15세 이용가,"실존하는 수많은 영물들과 싸우는 히어로, 스푼(SPOON)의 대활약 이야기!","히어로,이능력배틀물,판타지,완결판타지",59
우리 헤어졌어요,9.89,류채린,류채린,2015,스토리,드라마,전체연령가,모든 것은 헤어지면서 시작됐다?헤어진 남녀의 묘한 동거,"드라마,완결드라마",60
하이브 3,9.97,김규삼,김규삼,2018,스토리,판타지,15세 이용가,본격화된 인간과 거대곤충의 전쟁. 김규삼 작가가 선보이는 역대급 판타지 스릴러,"판타지,완결판타지",61
썸남,9.97,배철완,배철완,2016,에피소드,드라마,12세 이용가,"옆방에 사는 어색한 두 남자들에 대한 고찰. 
2014 대학만화 최강자전 수상작!","최강자전,2014 최강자전,드라마",62
데드데이즈(DEAD DAYS),9.97,DEY,DEY,2015,스토리,스릴러,15세 이용가,"좀비성 바이러스가 퍼진 세계. 4일 후의 이야기.살고싶은 본능, 살리고 싶은 마음 그리고 이기적인 욕망.살아남은 자들의 숨막히는 생존기","아포칼립스,스릴러,완결스릴러",63
2022 몰래보는 로맨스,9.87,웹툰작가,웹툰작가,2022,에피소드,로맨스,15세 이용가,몰래 보고 싶고 나만 소장하고 싶은 매운맛 로맨스의 세계.중세 시대 로맨스부터 판타지까지 숨겨놓았던 이야기 대방출! 참을 수 없는 이 분위기...! 혹시... 저만... 좋아요?,"로맨스코미디,현실로맨스,하이퍼리얼리즘,학원로맨스,캠퍼스로맨스,청춘로맨스,오피스로맨스,로맨스,완결무료,완결로맨스",64
화산귀환,9.91,LICO,비가,2022,스토리,무협/사극,15세 이용가,대 화산파 13대 제자.천하삼대검수 매화검존 청명. 천하를 혼란에 빠뜨린 고금제일마 천마의 목을 치고 십만대산의 정상에서 영면.백 년의 시간을 뛰어넘어 아이의 몸으로 다시 살아나다.......뭐? 화산이 망해? 이게 뭔 개소리야!?,"세계관,동양풍판타지,힘숨찐,회귀,이세계,먼치킨,무협/사극,소설원작",65
나노리스트,9.98,민송아,민송아,2018,스토리,판타지,12세 이용가,내게 날아온 달콤살벌한 선물 나노 안드로이드들의 비밀을 밝혀라!,"먼치킨,판타지,완결판타지",66
남과 여,9.98,혀노,혀노,2015,스토리,드라마,18세 이용가,"<죽음에 관하여>, <네가 없는 세상> 혀노 작가의 솔로 데뷔작,솔직한 20대의 흔한 사랑 이야기.",,67
언터처블,9.97,맛스타,맛스타,2017,스토리,로맨스,전체연령가,만져야 사는 여자와 만질 수 없는 남자의아슬아슬 로맨스!,"로맨스,완결로맨스",68
폭풍의 전학생,9.55,강냉이,강냉이,2012,스토리,액션,12세 이용가,전학생의 알콩달콩 두근두근버라이어티 학교 서바이벌.,"액션,완결액션",69
더 복서,9.91,정지훈,정지훈,2022,스토리,스포츠,15세 이용가,"재능있는 복서를 찾던 전설적인 트레이너 K는 기묘한 소년을 발견한다.그의 충격적인 재능은 과연 축복일까, 저주일까?!","격투기,힐링,직업드라마,스포츠성장,먼치킨,스포츠,완결스포츠",70
죽음에 관하여,9.97,시니,혀노,2018,옴니버스,드라마,12세 이용가,"삶과 죽음의 경계선, 그 곳엔 누가 있을까? ""가는 길에 심심한데 네 이야기나 한번 듣지""","감성드라마,드라마,완결드라마",71
모태솔로수용소,9.92,석재윤,석재윤,2015,스토리,드라마,15세 이용가,모태솔로가 중범죄자 취급받는 미래의 한국엉겁결에 잡혀들어온 독고남과 수감자들의 우여곡절 코믹 탈주기,"드라마,완결드라마",72
심연의 하늘 시즌 1~3,9.42,윤인완,김선희,2015,스토리,스릴러,15세 이용가,한치 앞도 보이지 않는 어둠 속 서울.도대체 무슨 일이 벌어진 걸까?,"슈퍼스트링,스릴러,완결스릴러",73
웃지 않는 개그반 시즌1~2,9.76,현용민,현용민,2015,스토리,개그,12세 이용가,미친 예술고등학교 개그반에 입학한 왕진지와 그의 친구들.그들이 겪는 웃지 못 할 이야기가 펼쳐진다.,"개그,완결개그",74
간 떨어지는 동거,9.97,나,나,2021,스토리,로맨스,전체연령가,인간이 되고자 900년간 노력해왔지만  불의의 사고로 한 여대생에게 여우구슬을 빼앗기게 된 (잘생긴) 구미호 어르신.어르신은 사태를 해결하기 위해 그녀에게 동거를 제안하게 되는데...,"드라마&영화 원작웹툰,혐관로맨스,캠퍼스로맨스,인외존재,삼각관계,로맨스,완결로맨스",75
상중하,9.87,한(恨),한(恨),2016,스토리,액션,18세 이용가,한 방 인생 역전을 위한일란성 세 쌍둥이의 처절한 인생 쟁탈전,,76
싸우자귀신아,9.9,임인스,임인스,2010,옴니버스,드라마,12세 이용가,귀신과 퇴마사의 좌충우돌 한판승부!골 때리는 장르 불명의 이야기!,"드라마&영화 원작웹툰,드라마,완결무료,완결드라마",77
사이드킥 2~3,9.97,신의철,신의철,2020,스토리,판타지,15세 이용가,슈퍼히어로의 조수 '사이드킥' 악당 빌런들과 맞서 싸우는 슈퍼히어로와사이드킥들의 이야기!,"판타지,완결판타지",78
2D남친 별책부록,9.82,웹툰작가,웹툰작가,2019,에피소드,로맨스,전체연령가,인기 로맨스 웹툰 남자주인공의 심쿵 컷 대방출!미공개 에피소드를 지금 만나보세요,"로맨스,완결무료,완결로맨스",79
절벽귀,9.97,오성대,오성대,2017,스토리,스릴러,15세 이용가,아무도 없는 절벽 한가운데 고립된 두 남자.절벽 끝에서 펼쳐지는 숨막히는 이야기,"스릴러,완결스릴러",80
타인지옥 - 연쇄살묘사건,9.9,김용키,김용키,2019,스토리,스릴러,15세 이용가,"<타인은 지옥이다> 특별외전 - 연쇄살묘사건고벤저스, 재등장! 종우가 오기 전 일어난 참혹한 사건의 전말은?!","스릴러,완결무료,완결스릴러",81
낮에 뜨는 달,9.93,헤윰,헤윰,2017,스토리,로맨스,12세 이용가,시간이 멈춘 남자와 흘러가는 여자.과거와 현재를 오가는 갈등에 대한 이야기.,"혐관로맨스,계약연애,구원서사,로맨스,완결로맨스",82
어빌리티,9.75,손제호,이광수,2016,스토리,판타지,12세 이용가,조금 편리한 능력일 뿐이라고 생각했다. 그 일이 있기 전까지...,"판타지,완결무료,완결판타지",83
이제 곧 죽습니다,9.66,이원식,꿀찬,2020,스토리,드라마,15세 이용가,아무래도 이번 생은 실패다.죽음과 함께 시작된 13번의 새로운 삶,"드라마,완결드라마",84
구구까까,9.94,혜니,혜니,2019,스토리,로맨스,전체연령가,원시시대로 넘어간 청담 핫걸 이나의부족 생활 적응기,"로맨스,완결로맨스",85
완벽한 허니문,9.96,화류동풍,옛사람,2017,스토리,로맨스,12세 이용가,"결혼 후 처음 떠나는 여행, 허니문에서신부가 혼자 여행을 시작했다?시작부터 위태로운 그들의 허니문 이야기","혐관로맨스,로맨스,완결로맨스",86
독립일기,9.97,자까,자까,2022,에피소드,일상,전체연령가,처음으로 나만의 집이 생긴다면? 자까 작가의 나혼자 사는 이야기,일상,87
다이스(DICE),9.39,윤현석,윤현석,2021,스토리,판타지,15세 이용가,"빵셔틀 남학생 동태가 우연히 얻게 된 주사위 '다이스'. 이 주사위만 굴리면 얼굴, 신체, 능력치 등 모든 걸 바꿀 수 있다고? '최후의 다이스'를 손에 얻기 위한 판타지 게임이 시작된다!","판타지,완결판타지",88
수능일기,9.98,자까,자까,2019,에피소드,개그,전체연령가,대학에 가면 모든게 행복할 줄 알았던...그 때의 처절했던 기억 속으로...,"개그,완결개그",89
입시명문사립 정글고등학교,9.91,김규삼,김규삼,2011,옴니버스,개그,12세 이용가,입시명문 사립 정글고등학교 입학권!! 각 계층의 다양한 학생들과 모든 군더더기 교육을 쫙~ 뺌으로서교육의 몸짱이라 할 수 있는 정글고등학교에 오신 것을 환영합니다.,"개그,완결개그",90
투명한 동거,9.91,정서,정서,2017,스토리,로맨스,15세 이용가,닿을 듯 닿지 않는인간과 유령의 아슬아슬한 동거,"최강자전,2015 최강자전,인외존재,로맨스,완결로맨스",91
컨트롤제트,9.93,미티,미티,2017,스토리,스릴러,12세 이용가,당신은 지우고 싶은 기억이 있나요?기억을 되돌릴 수 있다면...,"스릴러,완결스릴러",92
미래소녀,9.96,황준호,황준호,2015,스토리,스릴러,15세 이용가,소녀가 바라본 미래의 기억들<인간의 숲> 황준호 작가의 신작,"스릴러,완결스릴러",93
윈터우즈,9.98,cosmos,반지,2017,스토리,로맨스,전체연령가,"살아있는 사람이 되고 싶은 윈터,베스트셀러 동화 작가가 되고 싶은 제인두 사람의 알록달록 동화같은 이야기","로판,로맨스,완결로맨스",94
재혼 황후,9.96,히어리,숨풀,2022,스토리,로맨스,15세 이용가,동대제국의 완벽한 황후였던 나비에.​황제인 남편이 정부를 황후로 만들려는 것을 알고 이혼을 택한다. 그리고 결심한다.이곳에서 황후가 될 수 없다면 다른 곳에서 황후가 되겠다고.인기 웹소설 '재혼 황후'가 웹툰화되다!,"궁중로맨스,혐관로맨스,직진남,이세계,역하렘,연상연하,삼각관계,선결혼후연애,로판,걸크러시,로맨스,소설원작",95
Ho!,9.97,억수씨,억수씨,2015,스토리,드라마,전체연령가,청각장애인 Ho와 찌질남 원이가 펼치는 전혀 연애이야기 같지 않은 연애이야기과연 늑대에게도 순정은 있는가?!,"드라마,완결드라마",96
이번 생도 잘 부탁해,9.98,이혜,이혜,2022,스토리,로맨스,전체연령가,"전생을 기억하는 삶은 어떨까? 매번 전생을 기억하는 무료한 삶을 살던 18회차 인생, 윤주원이란 이름으로 살던 12살에 서하를 만나게 된다.특별할 거 없던 그 아이가 무료한 삶을 특별하게 만들어주었지만 교통사고로 18회차 인생이 끝나고 만다.다시 태어난 19회차 인생, 윤주원에서 반지음이란 이름으로 다시 서하를 만나러 간다.","재회,구원서사,로맨스,완결무료,완결로맨스",97
미라클! 용사님,9.96,정하,정하,2017,스토리,판타지,전체연령가,X내 나는 용사의 모험이 시작된다!2014 대학만화 최강자전 수상작!,"최강자전,2014 최강자전,판타지,완결판타지",98
열렙전사,9.92,김세훈,김세훈,2022,스토리,판타지,12세 이용가,"'퀘스트를 클리어 하는 자, 모든 것을 얻을 것이다'현실 밖의 현실, 루시드 어드벤쳐 최강의 용사 '열렙전사'와 동료들이 벌이는 본격 RPG 어드벤쳐.","게임판타지,먼치킨,판타지,완결판타지",99
목욕의 신,9.97,하일권,하일권,2018,스토리,드라마,전체연령가,신의 손을 가진 남자최고의 목욕관리사가 되기위한 때밀이 배틀이 시작된다.,"직업드라마,드라마,완결드라마",100
네이버 앱피소드,9.63,웹툰작가,웹툰작가,2012,에피소드,개그,전체연령가,"인기 웹툰 작가 총 출동
마침내 시작되는 네이버 릴레이 웹툰!","개그,완결무료,완결개그",101
사신소년,9.92,류,류,2022,스토리,액션,15세 이용가,"수명을 대가로 죽은 자의 능력을 빌리는 소년! 화려한 액션에서 부터 스포츠, 두뇌 플레이까지 한계는 없다!","이능력배틀물,소년왕도물,먼치킨,액션",102
손의 흔적,9.28,유성연,유성연,2016,스토리,드라마,12세 이용가,다른 사람의 문자대화를 마음대로 엿볼 수 있다?,"드라마,완결드라마",103
핑크레이디,9.92,연우,서나,2009,스토리,로맨스,전체연령가,"새하얀 캔버스, 조그마한 크로키북.그 안에 핑크색 물감으로 그려질 이야기- 핑크레이디. ","로맨스,완결무료,완결로맨스",104
좋아하는 부분,9.94,타리,타리,2019,스토리,로맨스,12세 이용가,극한의 남자취향을 가진 여인 소우주의 고군분투 로맨스,"로맨스,완결로맨스",105
검은인간,9.98,이저녁,이저녁,2020,스토리,액션,15세 이용가,"너의 흉터도, 너의 두 눈도, 그리고... 너의 힘까지! 지금부터 모든 걸 바꿔줄게.","액션,완결액션",106
마스크걸,9.96,매미,희세,2018,스토리,스릴러,18세 이용가,"끝내주게 못생기고끝내주게 몸매좋은 여자, 김모미",,107
빨간책,9.78,랑또,랑또,2015,에피소드,스릴러,15세 이용가,생각하면 할 수록 무서운 빨간책 속 이야기. 어디에나 있고 어디에도 없는 것에 대하여.. 랑또 작가의 컷툰 신작.,"스릴러,완결스릴러",108
마야고,9.95,후렛샤,김홍태,2016,스토리,스릴러,15세 이용가,"미스테리 스릴러 빙의,그리고 치명적인 시즌2 마야고!","스릴러,완결스릴러",109
맘마미안,9.96,미티,구구,2021,스토리,드라마,12세 이용가,아들보다 어려진 엄마?!다 큰 아들의 목숨을 건 엄마 뒷바라지!,"감성드라마,드라마,완결드라마",110
인간의 숲,9.98,황준호,황준호,2018,스토리,스릴러,18세 이용가,"실험을 위해 사이코패스 살인마들을 모아놓은 수용소가 마비되면서 벌어지는 폭력, 그리고 죽음.'악연', '공부하기 좋은날' 황준호 작가 신작 <인간의 숲>",,111
전자오락수호대,9.97,가스파드,가스파드,2021,스토리,판타지,전체연령가,아무도 모르게 게임을 굴리는 비밀의 일꾼들.최고 요원 패치의 게임 조난 굴곡사!,"판타지,완결판타지",112
저승에서 만난 사람들,9.97,단우,백희정,2015,스토리,스릴러,15세 이용가,한 아이의 유괴 사건과 관련된 다섯 사람저승에서 펼쳐지는 미스터리 스릴러,"스릴러,완결스릴러",113
아메리카노 엑소더스,9.42,박지은,박지은,2019,스토리,판타지,전체연령가,서울 한복판에 깜찍한 마법사 등장?!당신을 위한 이색 판타지!,"최강자전,2013 최강자전,판타지,완결판타지",114
귀전구담,9.98,QTT,QTT,2020,옴니버스,스릴러,12세 이용가,사람들은 모여 무서운 이야기라며 귀신이야기를 한다.귀신들은 모여 귀신보다 더 무섭고 섬뜩한 사람들의 이야기를 한다.,"스릴러,완결스릴러",115
연의 편지,9.98,조현아,조현아,2018,스토리,드라마,전체연령가,​짧았던 여름방학이 끝나고 만난 마법같은 시간.. 그때 우리는 친구였을까?정말 궁금해. 이렇게 다정한 네가 누군지..​여름 특선 10부작.,"청춘로맨스,드라마,완결드라마",116
안나라수마나라,9.95,하일권,하일권,2011,스토리,드라마,전체연령가,"따뜻한 감성의 하일권 작가 2010 작품.철없는 마술사를 만난 한 소녀의 성장 드라마.당신, 마술을 믿으시나요?","드라마&영화 원작웹툰,성장드라마,드라마,완결드라마",117
녹두전,9.98,혜진양,혜진양,2017,스토리,로맨스,전체연령가,"17세기 조선, 장가를 가기 싫은 사내와 기생이 되기 싫은 처자의 엇갈리고 이어지는 연애담","드라마&영화 원작웹툰,로맨스,완결로맨스",118
2019 병영일기,9.83,웹툰작가,웹툰작가,2019,에피소드,개그,전체연령가,"웹툰 주인공 잠시 접고 군입대를 명 받았습니다!!기상 나팔이 울리는 아침부터, 지옥 점호의 저녁까지... 웹툰 주인공들의 군 생활 대방출!!","개그,완결무료,완결개그",119
